Paper File,Paper Availability,Availability of Code and Software,Availability of Datasets,Computer Requirements,GPU Requirements,Documentation Quality,Ease of Setup,Reproducibility of Results,Overall Rating
logan2024megammap.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/pnorbert/adiosvm, https://github.com/grc-iit/mega",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Responsibility_in_Context_On_Applicability_of_Slicing_in_Semantic_Regression_Analysis_1.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: github.com,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
paper_4.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: source code,Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
shen-sc24-llamp.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: source code,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
MorphQ__Metamorphic_Testing_of_the_Qiskit_Quantum_Computing_Platform.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/Qiskit/qiskit,Score: 2 | Notes: Found potential dataset URL(s): https://figshare.com/s/dd0d4af20fd6e06148a3,Score: 1 | Notes: Found keyword: OS. Manual check needed for clarity and reasonableness.,Score: 1 | Notes: Found keyword: GPU. Manual check needed for specific requirements.,Score: 0 | Notes: Requires analysis of associated code repository documentation.,Score: 0 | Notes: Requires attempting to set up and run the code.,Score: 0 | Notes: Requires attempting to reproduce results and checking for badges/claims.,Score: N/A | Notes: Manual review required
SC24-SPARC-RPA.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/SPARC-RPA-SC/SPARC-,Score: 1 | Notes: Found keyword: zenodo,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Reachable_Coverage_Estimating_Saturation_in_Fuzzing.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/ossf/fuzz-introspector, https://github.com/google/AFL",Score: 1 | Notes: Found keyword: zenodo,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
paper_12.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 1 | Notes: Found keyword: bitbucket.org,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
sc24_lorastencil.pdf,Score: 1 | Notes: PDF was successfully downloaded.,Score: 2 | Notes: Found potential repository URL(s): https://github.com/HPHEX/LoRAStencil.,Score: 1 | Notes: Found keyword: data set,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Learning_Deep_Semantics_for_Test_Completion_1.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/EngineeringSoftware/teco., https://github.com/javaparser/javaparser.",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
Retrieval_Based_Prompt_Selection_for_Code_Related_Few_Shot_Learning.pdf,Score: 1 | Notes: PDF was successfully downloaded.,"Score: 2 | Notes: Found potential repository URL(s): https://github.com/RaRe-Technologies/gensim, https://github.com/prompt-learning/cedar",Score: 1 | Notes: Found keyword: dataset,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: 0 | Notes: ,Score: N/A | Notes: Manual review required
